OBJECTID,Codigo_Interno_del_Situad,Tipo_Contenedor,Modelo,Descripcion_Modelo,Cantidad,Lote,Distrito,Barrio,Tipo_Via,Nombre,Numero,Coordenada_X,Coordenada_Y,Longitud,Latitud,Direccion
16695,,ORGANICA,O0800CT,,,2,CIUDAD LINEAL,VENTAS,,,,444332.0,4475127.0,-365624129,40.42491428,
16698,,ORGANICA,O0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,441823.69,4482536.4,-368648756,40.49148981,
16701,,ORGANICA,O0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437422.3,4473086.77,-373748942,40.40604405,
16703,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS BAJAS,,,,443950.61,4471482.08,-366041597,40.39205318,
16704,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS SURESTE,,,,445305.0513,4470336.119,-364435950,40.38181968,
16706,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,ENTREVIAS,,,,442887.69,4470184.78,-367282298,40.38029415,
16707,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,NUMANCIA,,,,443641.91,4472407.18,-366413495,40.40036619,
16709,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,ENTREVIAS,,,,443900.82,4469442.18,-366082299,40.37367318,
16710,,ORGANICA,O0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,441913.7982,4483152.014,-368548078,40.49704181,
16713,,ORGANICA,O0800CT,,,2,CIUDAD LINEAL,VENTAS,,,,444341.0,4475027.0,-365612644,40.42401403,
16715,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS SURESTE,,,,445990.53,4471193.05,-363635702,40.38958418,
16716,,ORGANICA,O0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,440950.72,4483019.89,-369683305,40.49578362,
16719,,ORGANICA,O0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437898.89,4473498.68,-373191335,40.4097904,
16721,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS BAJAS,,,,443741.57,4470067.55,-366275397,40.37929616,
16722,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS SURESTE,,,,445226.1983,4470387.716,-364529285,40.38227933,
16724,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS BAJAS,,,,443660.09,4471234.16,-366381695,40.38980017,
16725,,ORGANICA,O0800CT,,,2,CIUDAD LINEAL,VENTAS,,,,444758.388,4475009.707,-365120494,40.42388607,
16727,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,ENTREVIAS,,,,443823.1922,4469465.948,-366173945,40.37388207,
16728,,ORGANICA,O0800CT,,,1,FUENCARRAL-EL PARDO,PEÑAGRANDE,,,,438573.73,4481793.85,-372476268,40.48456654,
16731,,ORGANICA,O0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,441911.56,4481850.21,-368538786,40.48531449,
16733,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS SURESTE,,,,445178.94,4470531.91,-364586197,40.38357521,
16734,,ORGANICA,O0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,441434.7,4483232.74,-369114174,40.49773535,
16737,,ORGANICA,O0800CT,,,2,CIUDAD LINEAL,VENTAS,,,,444207.0,4474934.0,-365769782,40.42316726,
16739,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS SURESTE,,,,446105.72,4471312.11,-363500997,40.39066421,
16740,,ORGANICA,O0800CT,,,2,CHAMARTIN,CASTILLA,,,,441934.0,4480599.0,-368500853,40.47404465,
16742,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,ENTREVIAS,,,,443203.75,4470309.82,-366911096,40.38144219,
16743,,ORGANICA,O0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,441711.57,4483171.43,-368786892,40.49720254,
16745,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,ENTREVIAS,,,,443884.24,4469177.89,-366099502,40.37129117,
16746,,ORGANICA,O0800CT,,,2,CIUDAD LINEAL,VENTAS,,,,444669.33,4474926.536,-365224748,40.4231309,
16749,,ORGANICA,O0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,441798.28,4481661.25,-368670702,40.48360433,
16751,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,ENTREVIAS,,,,444279.91,4469593.65,-365637100,40.37506314,
16752,,ORGANICA,O0800CT,,,1,FUENCARRAL-EL PARDO,PEÑAGRANDE,,,,438226.23,4481225.42,-372880711,40.47942015,
