OBJECTID,Codigo_Interno_del_Situad,Tipo_Contenedor,Modelo,Descripcion_Modelo,Cantidad,Lote,Distrito,Barrio,Tipo_Via,Nombre,Numero,Coordenada_X,Coordenada_Y,Longitud,Latitud,Direccion
6489,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434306.05,4485445.93,-377549117,40.51713847,
6490,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434269.32,4485571.52,-377593776,40.5182669,
6493,,RESTO,R0800CT,,,2,CIUDAD LINEAL,VENTAS,,,,444351.0962,4475088.836,-365601284,40.42457176,
6494,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441895.0,4481053.0,-368551018,40.47813174,
6495,,RESTO,R0800CT,,,2,CHAMARTIN,HISPANOAMERICA,,,,443546.0,4478701.0,-366582403,40.45705772,
6496,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,443736.0,4477701.0,-366349468,40.44806211,
6497,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441701.0,4479923.0,-368769494,40.46793864,
6498,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,442482.0,4476760.0,-367819633,40.43949932,
6499,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441701.0,4479922.0,-368769484,40.46792963,
6501,,RESTO,R0800CT,,,2,CIUDAD LINEAL,VENTAS,,,,444330.0,4475075.0,-365626031,40.42444571,
6502,,RESTO,R0800CT,,,2,CHAMARTIN,PROSPERIDAD,,,,442606.0,4476855.0,-367674292,40.44036369,
6503,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,441303.28,4482740.0,-369264690,40.49328728,
6506,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434306.05,4485445.93,-377549117,40.51713847,
6507,,RESTO,R0800CT,,,2,CIUDAD LINEAL,SAN JUAN BAUTISTA,,,,444135.0,4477823.0,-365880049,40.44918806,
6508,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441774.0,4480001.0,-368684104,40.46864642,
6509,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434197.37,4485458.02,-377677524,40.51723876,
6512,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,433995.08,4486196.83,-377924005,40.523878,
6513,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441838.0,4480623.0,-368614317,40.47425414,
6514,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434197.37,4485458.02,-377677524,40.51723876,
6517,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434005.92,4485810.22,-377907176,40.52039622,
6518,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441739.0,4480121.0,-368726490,40.46972497,
6519,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434299.26,4485316.16,-377555784,40.51596894,
6521,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,433995.08,4486196.83,-377924005,40.523878,
6522,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441821.0,4480422.0,-368632527,40.47244226,
6523,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434299.26,4485316.16,-377555784,40.51596894,
6527,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,441303.28,4482740.0,-369264690,40.49328728,
6528,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,433860.71,4487160.39,-378092700,40.53254718,
6530,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441741.0,4480127.0,-368724186,40.46977916,
