OBJECTID,Codigo_Interno_del_Situad,Tipo_Contenedor,Modelo,Descripcion_Modelo,Cantidad,Lote,Distrito,Barrio,Tipo_Via,Nombre,Numero,Coordenada_X,Coordenada_Y,Longitud,Latitud,Direccion
5926,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437885.43,4473736.75,-373209522,40.41193403,
5927,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436627.2908,4472623.269,-374681185,40.40180851,
5928,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437630.98,4472966.33,-373501848,40.40497473,
5929,,RESTO,R0800CT,,,2,HORTALEZA,CANILLAS,,,,445172.0,4479423.0,-364671037,40.46367073,
5930,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436066.0425,4473035.205,-375346668,40.40547648,
5931,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437548.85,4473740.33,-373606226,40.41194109,
5932,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438423.82,4473835.27,-372575966,40.41286154,
5933,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436149.78,4473214.43,-375249789,40.40709744,
5934,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437661.02,4473282.51,-373469545,40.40782527,
5935,,RESTO,R0800CT,,,2,HORTALEZA,CANILLAS,,,,445071.3253,4479395.359,-364789539,40.46341507,
5936,,RESTO,R0800CT,,,1,LATINA,LUCERO,,,,436910.31,4473243.26,-374353835,40.40741513,
5937,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437155.69,4472975.57,-374062024,40.40502223,
5938,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437155.69,4472975.57,-374062024,40.40502223,
5939,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438273.29,4473544.76,-372750555,40.41023335,
5940,,RESTO,R0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,438433.09,4473685.77,-372563594,40.41151547,
