mes,año,distrito,suma_residuos
JULIO,2022,CENTRO ,641.6999999999999
JULIO,2022,TETUÁN,805.72
JULIO,2022,CHAMBERÍ,425.15999999999997
JULIO,2022,ARGANZUELA,1253.4
JULIO,2022,RETIRO,229.22
JULIO,2022,SALAMANCA,124.58000000000001
JULIO,2022,CHAMARTÍN,237.94
JULIO,2022,FUENCARRAL,187.5
JULIO,2022,MONCLOA,609.2600000000001
JULIO,2022,LATINA,595.72
JULIO,2022,CIUDAD LINEAL,250.742
JULIO,2022,HORTALEZA,339.853
JULIO,2022,SAN BLAS,252.20700000000002
JULIO,2022,BARAJAS,171.79799999999997
JULIO,2022,PUENTE DE VALLECAS ,80.131
JULIO,2022,VILLA DE VALLECAS ,33.638999999999996
JULIO,2022,MORATALAZ,89.704
JULIO,2022,VICÁLVARO,22.426
JULIO,2022,CARABANCHEL,254.656
JULIO,2022,USERA,159.16000000000003
JULIO,2022,VILLAVERDE,222.824
AGOSTO,2022,CENTRO ,529.64
AGOSTO,2022,TETUÁN,476.84000000000003
AGOSTO,2022,CHAMBERÍ,475.6
AGOSTO,2022,ARGANZUELA,35.4
AGOSTO,2022,RETIRO,168.79999999999998
AGOSTO,2022,SALAMANCA,58.38
AGOSTO,2022,CHAMARTÍN,134.28
AGOSTO,2022,FUENCARRAL,175.42000000000002
AGOSTO,2022,MONCLOA,115.94000000000001
AGOSTO,2022,LATINA,163.28
AGOSTO,2022,CIUDAD LINEAL,132.653
AGOSTO,2022,HORTALEZA,209.702
AGOSTO,2022,SAN BLAS,161.207
AGOSTO,2022,BARAJAS,104.158
AGOSTO,2022,PUENTE DE VALLECAS ,86.443
AGOSTO,2022,VILLA DE VALLECAS ,38.187
AGOSTO,2022,MORATALAZ,98.792
AGOSTO,2022,VICÁLVARO,24.698
AGOSTO,2022,CARABANCHEL,290.28799999999995
AGOSTO,2022,USERA,181.43
AGOSTO,2022,VILLAVERDE,254.002
SEPTIEMBRE,2022,CENTRO ,570.46
SEPTIEMBRE,2022,TETUÁN,506.04
SEPTIEMBRE,2022,CHAMBERÍ,568.12
SEPTIEMBRE,2022,ARGANZUELA,188.75999999999996
SEPTIEMBRE,2022,RETIRO,1043.82
SEPTIEMBRE,2022,SALAMANCA,126.78
SEPTIEMBRE,2022,CHAMARTÍN,78.36
SEPTIEMBRE,2022,FUENCARRAL,917.12
SEPTIEMBRE,2022,MONCLOA,503.44
SEPTIEMBRE,2022,LATINA,1079.5700000000002
SEPTIEMBRE,2022,CIUDAD LINEAL,256.584
SEPTIEMBRE,2022,HORTALEZA,374.185
SEPTIEMBRE,2022,SAN BLAS,277.966
SEPTIEMBRE,2022,BARAJAS,160.365
SEPTIEMBRE,2022,PUENTE DE VALLECAS ,682.981
SEPTIEMBRE,2022,VILLA DE VALLECAS ,298.421
SEPTIEMBRE,2022,MORATALAZ,769.12
SEPTIEMBRE,2022,VICÁLVARO,192.28
SEPTIEMBRE,2022,CARABANCHEL,238.616
SEPTIEMBRE,2022,USERA,149.158
SEPTIEMBRE,2022,VILLAVERDE,208.796
OCTUBRE,2022,CENTRO ,694.83
OCTUBRE,2022,TETUÁN,581.9399999999999
OCTUBRE,2022,CHAMBERÍ,737.26
OCTUBRE,2022,ARGANZUELA,234.54000000000002
OCTUBRE,2022,RETIRO,227.26
OCTUBRE,2022,SALAMANCA,883.44
OCTUBRE,2022,CHAMARTÍN,190.32
OCTUBRE,2022,FUENCARRAL,484.609
OCTUBRE,2022,MONCLOA,180.76
OCTUBRE,2022,LATINA,159.2
OCTUBRE,2022,CIUDAD LINEAL,230.772
OCTUBRE,2022,HORTALEZA,337.126
OCTUBRE,2022,SAN BLAS,250.836
OCTUBRE,2022,BARAJAS,144.48199999999997
OCTUBRE,2022,PUENTE DE VALLECAS ,552.804
OCTUBRE,2022,VILLA DE VALLECAS ,233.90200000000002
OCTUBRE,2022,MORATALAZ,594.033
OCTUBRE,2022,VICÁLVARO,153.385
OCTUBRE,2022,CARABANCHEL,1277.745
OCTUBRE,2022,USERA,818.037
OCTUBRE,2022,VILLAVERDE,1128.498
NOVIEMBRE,2022,CENTRO ,648.3000000000001
NOVIEMBRE,2022,TETUÁN,610.8000000000001
NOVIEMBRE,2022,CHAMBERÍ,680.08
NOVIEMBRE,2022,ARGANZUELA,290.54
NOVIEMBRE,2022,RETIRO,830.59
NOVIEMBRE,2022,SALAMANCA,43.1
NOVIEMBRE,2022,CHAMARTÍN,137.64
NOVIEMBRE,2022,FUENCARRAL,311.519
NOVIEMBRE,2022,MONCLOA,297.29999999999995
NOVIEMBRE,2022,LATINA,258.02000000000004
NOVIEMBRE,2022,CIUDAD LINEAL,227.533
NOVIEMBRE,2022,HORTALEZA,331.527
NOVIEMBRE,2022,SAN BLAS,246.077
NOVIEMBRE,2022,BARAJAS,142.083
NOVIEMBRE,2022,PUENTE DE VALLECAS ,1125.55
NOVIEMBRE,2022,VILLA DE VALLECAS ,517.794
NOVIEMBRE,2022,MORATALAZ,194.461
NOVIEMBRE,2022,VICÁLVARO,318.75300000000004
NOVIEMBRE,2022,CARABANCHEL,1277.745
NOVIEMBRE,2022,USERA,818.037
NOVIEMBRE,2022,VILLAVERDE,1128.498
DICIEMBRE,2022,CENTRO ,736.78
DICIEMBRE,2022,TETUÁN,760.18
DICIEMBRE,2022,CHAMBERÍ,669.9019999999999
DICIEMBRE,2022,ARGANZUELA,331.01000000000005
DICIEMBRE,2022,RETIRO,924.349
DICIEMBRE,2022,SALAMANCA,72.48
DICIEMBRE,2022,CHAMARTÍN,259.11
DICIEMBRE,2022,FUENCARRAL,778.84
DICIEMBRE,2022,MONCLOA,352.55899999999997
DICIEMBRE,2022,LATINA,867.34
DICIEMBRE,2022,CIUDAD LINEAL,259.36
DICIEMBRE,2022,HORTALEZA,386.15
DICIEMBRE,2022,SAN BLAS,295.14
DICIEMBRE,2022,BARAJAS,168.35000000000002
DICIEMBRE,2022,PUENTE DE VALLECAS ,1257.55
DICIEMBRE,2022,VILLA DE VALLECAS ,601.8910000000001
DICIEMBRE,2022,MORATALAZ,258.013
DICIEMBRE,2022,VICÁLVARO,354.265
DICIEMBRE,2022,CARABANCHEL,480.19599999999997
DICIEMBRE,2022,USERA,284.071
DICIEMBRE,2022,VILLAVERDE,327.54299999999995
ENERO,2023,CENTRO ,600.7399999999999
ENERO,2023,TETUÁN,640.5
ENERO,2023,CHAMBERÍ,616.42
ENERO,2023,ARGANZUELA,190.14000000000001
ENERO,2023,RETIRO,104.16799999999999
ENERO,2023,SALAMANCA,364.14
ENERO,2023,CHAMARTÍN,107.17999999999999
ENERO,2023,FUENCARRAL,200.12900000000002
ENERO,2023,MONCLOA,163.23999999999998
ENERO,2023,LATINA,863.48
ENERO,2023,CIUDAD LINEAL,218.45999999999998
ENERO,2023,HORTALEZA,349.536
ENERO,2023,SAN BLAS,174.768
ENERO,2023,BARAJAS,131.07600000000002
ENERO,2023,PUENTE DE VALLECAS,190.49699999999999
ENERO,2023,VILLA DE VALLECAS,81.315
ENERO,2023,MORATALAZ,846.987
ENERO,2023,VICÁLVARO,555.7660000000001
ENERO,2023,CARABANCHEL,262.665
ENERO,2023,USERA,155.529
ENERO,2023,VILLAVERDE,179.226
FEBRERO,2023,CENTRO ,558.16
FEBRERO,2023,TETUÁN,474.02
FEBRERO,2023,CHAMBERÍ,411.58000000000004
FEBRERO,2023,ARGANZUELA,129.12
FEBRERO,2023,RETIRO,1047.62
FEBRERO,2023,SALAMANCA,642.16
FEBRERO,2023,CHAMARTÍN,120.8
FEBRERO,2023,FUENCARRAL,160.4
FEBRERO,2023,MONCLOA,90.24000000000001
FEBRERO,2023,LATINA,102.6
FEBRERO,2023,CIUDAD LINEAL,170.54399999999998
FEBRERO,2023,HORTALEZA,198.969
FEBRERO,2023,SAN BLAS,113.696
FEBRERO,2023,BARAJAS,1026.3310000000001
FEBRERO,2023,PUENTE DE VALLECAS ,1168.543
FEBRERO,2023,VILLA DE VALLECAS ,712.1919999999999
FEBRERO,2023,MORATALAZ,812.947
FEBRERO,2023,VICÁLVARO,299.298
FEBRERO,2023,CARABANCHEL,289.08
FEBRERO,2023,USERA,179.62800000000001
FEBRERO,2023,VILLAVERDE,247.012
MARZO,2023,CENTRO ,641.66
MARZO,2023,TETUÁN,445.71999999999997
MARZO,2023,CHAMBERÍ,463.06
MARZO,2023,ARGANZUELA,173.268
MARZO,2023,RETIRO,193.84
MARZO,2023,SALAMANCA,929.81
MARZO,2023,CHAMARTÍN,90.02
MARZO,2023,FUENCARRAL,385.26000000000005
MARZO,2023,MONCLOA,132.62
MARZO,2023,LATINA,911.58
MARZO,2023,CIUDAD LINEAL,221.666
MARZO,2023,HORTALEZA,255.27700000000002
MARZO,2023,SAN BLAS,183.055
MARZO,2023,BARAJAS,72.22200000000001
MARZO,2023,PUENTE DE VALLECAS ,768.177
MARZO,2023,VILLA DE VALLECAS ,856.4879999999999
MARZO,2023,MORATALAZ,324.933
MARZO,2023,VICÁLVARO,216.62199999999999
MARZO,2023,CARABANCHEL,279.37
MARZO,2023,USERA,165.718
MARZO,2023,VILLAVERDE,190.752
ABRIL,2023,CENTRO ,591.72
ABRIL,2023,TETUÁN,700.7
ABRIL,2023,CHAMBERÍ,488.72
ABRIL,2023,ARGANZUELA,186.45999999999998
ABRIL,2023,RETIRO,978.84
ABRIL,2023,SALAMANCA,599.36
ABRIL,2023,CHAMARTÍN,190.24
ABRIL,2023,FUENCARRAL,464.29
ABRIL,2023,MONCLOA,766.24
ABRIL,2023,LATINA,793.0400000000001
ABRIL,2023,CIUDAD LINEAL,251.594
ABRIL,2023,HORTALEZA,295.19300000000004
ABRIL,2023,SAN BLAS,207.99499999999998
ABRIL,2023,BARAJAS,77.198
ABRIL,2023,PUENTE DE VALLECAS ,327.496
ABRIL,2023,VILLA DE VALLECAS ,258.523
ABRIL,2023,MORATALAZ,117.388
ABRIL,2023,VICÁLVARO,78.361
ABRIL,2023,CARABANCHEL,277.712
ABRIL,2023,USERA,163.785
ABRIL,2023,VILLAVERDE,189.213
MAYO,2023,CENTRO ,623.2399999999999
MAYO,2023,TETUÁN,915.7
MAYO,2023,CHAMBERÍ,986.27
MAYO,2023,ARGANZUELA,152.6
MAYO,2023,RETIRO,1111.58
MAYO,2023,SALAMANCA,310.43
MAYO,2023,CHAMARTÍN,8.38
MAYO,2023,FUENCARRAL,157.64
MAYO,2023,MONCLOA,210.18000000000004
MAYO,2023,LATINA,219.22
MAYO,2023,CIUDAD LINEAL,765.558
MAYO,2023,HORTALEZA,893.151
MAYO,2023,SAN BLAS,637.965
MAYO,2023,BARAJAS,255.186
MAYO,2023,PUENTE DE VALLECAS ,435.921
MAYO,2023,VILLA DE VALLECAS ,380.124
MAYO,2023,MORATALAZ,163.209
MAYO,2023,VICÁLVARO,108.806
MAYO,2023,CARABANCHEL,288.029
MAYO,2023,USERA,169.579
MAYO,2023,VILLAVERDE,199.05200000000002
JUNIO,2023,CENTRO ,651.84
JUNIO,2023,TETUÁN,607.4399999999999
JUNIO,2023,CHAMBERÍ,569.6
JUNIO,2023,ARGANZUELA,152.6
JUNIO,2023,RETIRO,1099.94
JUNIO,2023,SALAMANCA,386.64
JUNIO,2023,CHAMARTÍN,228.62
JUNIO,2023,FUENCARRAL,132.06
JUNIO,2023,MONCLOA,503.50000000000006
JUNIO,2023,LATINA,169.7
JUNIO,2023,CIUDAD LINEAL,267.636
JUNIO,2023,HORTALEZA,312.242
JUNIO,2023,SAN BLAS,223.02999999999997
JUNIO,2023,BARAJAS,89.212
JUNIO,2023,PUENTE DE VALLECAS ,522.585
JUNIO,2023,VILLA DE VALLECAS ,574.74
JUNIO,2023,MORATALAZ,219.465
JUNIO,2023,VICÁLVARO,146.31
JUNIO,2023,CARABANCHEL,240.86200000000002
JUNIO,2023,USERA,150.316
JUNIO,2023,VILLAVERDE,169.62199999999999
JULIO,2023,CENTRO ,699.94
JULIO,2023,TETUÁN,725.18
JULIO,2023,CHAMBERÍ,1558.3600000000001
JULIO,2023,ARGANZUELA,182.72
JULIO,2023,RETIRO,152.15200000000002
JULIO,2023,SALAMANCA,455.48
JULIO,2023,CHAMARTÍN,109.44
JULIO,2023,FUENCARRAL,101.48
JULIO,2023,MONCLOA,179.71999999999997
JULIO,2023,LATINA,109.9
JULIO,2023,CIUDAD LINEAL,155.64000000000001
JULIO,2023,HORTALEZA,181.57999999999998
