OBJECTID,Codigo_Interno_del_Situad,Tipo_Contenedor,Modelo,Descripcion_Modelo,Cantidad,Lote,Distrito,Barrio,Tipo_Via,Nombre,Numero,Coordenada_X,Coordenada_Y,Longitud,Latitud,Direccion
1328,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436149.78,4473214.43,-375249789,40.40709744,
1329,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436149.78,4473214.43,-375249789,40.40709744,
1330,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436627.2649,4472623.543,-374681218,40.40181097,
1331,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436608.4572,4472210.228,-374699264,40.39808623,
1332,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436215.56,4473097.21,-375171096,40.40604652,
1333,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436608.4572,4472210.228,-374699264,40.39808623,
1334,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436030.99,4473086.83,-375388493,40.40593885,
1335,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436230.84,4472819.94,-375150312,40.40354993,
1336,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436181.24,4473212.19,-375212693,40.40707967,
1337,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436846.45,4473354.34,-374430193,40.40841094,
1338,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436990.98,4473286.38,-374259196,40.40780968,
1339,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436581.65,4472878.78,-374737511,40.40410678,
1340,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436581.65,4472878.78,-374737511,40.40410678,
1341,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,437002.6,4473089.62,-374243555,40.40603807,
1342,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436171.5,4473086.29,-375222908,40.40594477,
1343,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436351.07,4472937.02,-375009806,40.40461383,
1344,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436752.23,4473305.74,-374540745,40.40796598,
1345,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,435493.0,4472738.12,-376018936,40.40275603,
1346,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,435493.0,4472738.12,-376018936,40.40275603,
1347,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436752.23,4473305.74,-374540745,40.40796598,
1348,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436805.31,4472091.59,-374466138,40.39703245,
1349,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436805.31,4472091.59,-374466138,40.39703245,
1350,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436805.31,4472091.59,-374466138,40.39703245,
1351,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436066.29,4472729.19,-375343302,40.4027198,
1352,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436066.29,4472729.19,-375343302,40.4027198,
1353,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436639.1,4472059.9,-374661662,40.39673434,
1354,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436639.1,4472059.9,-374661662,40.39673434,
1355,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436674.38,4472964.83,-374629095,40.40488901,
1356,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436950.17,4473131.01,-374305750,40.40640696,
1357,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436711.7,4473288.52,-374588336,40.40780778,
1358,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436318.73,4473296.44,-375051512,40.40784916,
1359,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436318.73,4473296.44,-375051512,40.40784916,
1360,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436711.7,4473288.52,-374588336,40.40780778,
1361,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436508.09,4472166.05,-374817085,40.39768061,
1362,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436508.09,4472166.05,-374817085,40.39768061,
1363,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436470.36,4472550.62,-374865379,40.4011421,
1364,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436470.36,4472550.62,-374865379,40.4011421,
1365,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436470.36,4472550.62,-374865379,40.4011421,
1366,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436770.68,4473002.15,-374515986,40.40523252,
1367,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436770.68,4473002.15,-374515986,40.40523252,
1368,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436825.37,4472919.07,-374450714,40.40448826,
1369,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436837.4,4472970.74,-374437051,40.40495463,
1370,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436837.4,4472970.74,-374437051,40.40495463,
1371,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436928.91,4472927.46,-374328786,40.40457169,
1372,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436928.91,4472927.46,-374328786,40.40457169,
1373,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436025.37,4472776.26,-375391994,40.40314068,
1374,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436025.37,4472776.26,-375391994,40.40314068,
1375,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436743.42,4472816.0,-374546259,40.40355354,
1376,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436743.42,4472816.0,-374546259,40.40355354,
1377,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436355.06,4472883.62,-375004571,40.40413309,
1378,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436355.06,4472883.62,-375004571,40.40413309,
1379,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436402.09,4473254.45,-374952857,40.40747727,
1380,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436402.09,4473254.45,-374952857,40.40747727,
1381,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436300.58,4472877.62,-375068709,40.40407487,
1382,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436730.5,4472768.52,-374561012,40.40312484,
1383,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436762.2444,4473355.113,-374529434,40.40841151,
1384,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436762.2444,4473355.113,-374529434,40.40841151,
1385,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436300.58,4472877.62,-375068709,40.40407487,
1386,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,437053.07,4473313.38,-374186293,40.40805761,
1387,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,437067.06,4473253.86,-374169218,40.40752249,
1388,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436774.1,4473070.7,-374512637,40.40585031,
1389,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436774.1,4473070.7,-374512637,40.40585031,
1390,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436310.12,4472848.46,-375057175,40.40381292,
1391,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436310.12,4472848.46,-375057175,40.40381292,
1392,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436205.4,4471999.82,-375172072,40.39616001,
1393,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436241.34,4472949.66,-375139238,40.4047193,
1394,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,435570.17,4472808.3,-375928712,40.40339421,
1395,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436241.34,4472949.66,-375139238,40.4047193,
1396,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436445.61,4472993.32,-374898963,40.40512823,
1397,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436445.61,4472993.32,-374898963,40.40512823,
1398,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436011.51,4473069.21,-375411272,40.40577862,
1399,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436790.95,4472972.28,-374491803,40.40496498,
1400,,ENVASES,E0800CT,,,1,LATINA,LUCERO,,,,436790.95,4472972.28,-374491803,40.40496498,
1401,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434367.96,4471680.84,-377333739,40.39314375,
